2026-05-24 00:47:51.880 -03:00 [WRN] Failed to determine the https port for redirect.
2026-05-24 00:47:52.028 -03:00 [INF] HTTP GET / responded 200 in 164.2696 ms
2026-05-24 00:47:52.095 -03:00 [INF] HTTP GET /css/site.css responded 200 in 10.5135 ms
2026-05-24 00:47:52.096 -03:00 [INF] HTTP GET /js/site.js responded 200 in 2.0318 ms
2026-05-24 00:47:52.096 -03:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 21.3842 ms
2026-05-24 00:47:52.096 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 5.9158 ms
2026-05-24 00:47:52.102 -03:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 10.5794 ms
2026-05-24 00:47:52.102 -03:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 9.4564 ms
2026-05-24 00:47:52.495 -03:00 [INF] HTTP GET /favicon.ico responded 200 in 8.4322 ms
2026-05-24 00:47:59.031 -03:00 [INF] HTTP GET /Cursos responded 200 in 192.4973 ms
2026-05-24 00:47:59.054 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.7976 ms
2026-05-24 00:48:08.013 -03:00 [INF] HTTP GET /Cursos/Edit responded 200 in 157.3816 ms
2026-05-24 00:48:08.034 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.3066 ms
2026-05-24 00:48:08.043 -03:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js responded 200 in 1.5968 ms
2026-05-24 00:48:08.043 -03:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 200 in 2.1882 ms
2026-05-24 00:48:10.105 -03:00 [INF] HTTP GET /Cursos responded 200 in 25.2376 ms
2026-05-24 00:48:10.126 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.3412 ms
2026-05-24 00:48:11.689 -03:00 [INF] HTTP GET / responded 200 in 1.6732 ms
2026-05-24 00:48:11.717 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.3612 ms
2026-05-24 00:48:53.413 -03:00 [INF] HTTP GET /Cursos responded 200 in 14.0307 ms
2026-05-24 00:48:53.432 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.2410 ms
2026-05-24 00:56:17.556 -03:00 [WRN] Failed to determine the https port for redirect.
2026-05-24 00:56:17.699 -03:00 [INF] HTTP GET / responded 200 in 157.9885 ms
2026-05-24 00:56:17.731 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 6.6516 ms
2026-05-24 00:56:17.733 -03:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 304 in 5.3496 ms
2026-05-24 00:56:17.733 -03:00 [INF] HTTP GET /css/site.css responded 304 in 7.1341 ms
2026-05-24 00:56:17.733 -03:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 304 in 5.3497 ms
2026-05-24 00:56:17.733 -03:00 [INF] HTTP GET /js/site.js responded 304 in 3.8363 ms
2026-05-24 00:56:17.734 -03:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 304 in 0.4728 ms
2026-05-24 00:56:17.849 -03:00 [INF] HTTP GET /favicon.ico responded 304 in 0.3255 ms
2026-05-24 00:56:27.661 -03:00 [INF] HTTP GET / responded 200 in 6.5693 ms
2026-05-24 00:56:27.675 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 1.1640 ms
2026-05-24 00:56:29.065 -03:00 [INF] HTTP GET /Cursos responded 200 in 165.6651 ms
2026-05-24 00:56:29.090 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.3523 ms
2026-05-24 00:56:34.460 -03:00 [INF] HTTP GET /Cursos/Edit responded 200 in 145.6686 ms
2026-05-24 00:56:34.484 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 1.3598 ms
2026-05-24 00:56:34.486 -03:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 304 in 0.8316 ms
2026-05-24 00:56:34.486 -03:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js responded 304 in 0.7774 ms
2026-05-24 00:56:40.176 -03:00 [INF] HTTP GET /Account/Login responded 200 in 21.5368 ms
2026-05-24 00:56:40.198 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.9355 ms
2026-05-24 00:59:37.286 -03:00 [WRN] Failed to determine the https port for redirect.
2026-05-24 00:59:37.423 -03:00 [INF] HTTP GET / responded 200 in 148.7709 ms
2026-05-24 00:59:37.458 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 3.5276 ms
2026-05-24 00:59:38.989 -03:00 [INF] HTTP GET /Cursos responded 302 in 10.5763 ms
2026-05-24 00:59:39.045 -03:00 [INF] HTTP GET /Account/Login responded 200 in 50.5314 ms
2026-05-24 00:59:39.068 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.6205 ms
2026-05-24 00:59:50.673 -03:00 [INF] HTTP POST /Account/Login responded 200 in 22.6733 ms
2026-05-24 00:59:50.689 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.3049 ms
2026-05-24 01:00:14.089 -03:00 [INF] HTTP POST /Account/Login responded 302 in 35.9189 ms
2026-05-24 01:00:14.136 -03:00 [INF] HTTP GET / responded 200 in 41.3750 ms
2026-05-24 01:00:14.158 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 2.1679 ms
2026-05-24 01:00:16.149 -03:00 [INF] HTTP GET /Cursos responded 200 in 163.7193 ms
2026-05-24 01:00:16.172 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.4951 ms
2026-05-24 01:00:19.671 -03:00 [INF] HTTP GET /Aluno/Certificados responded 200 in 11.1009 ms
2026-05-24 01:00:19.696 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 1.1382 ms
2026-05-24 01:00:40.791 -03:00 [INF] HTTP GET /Aluno/Perfil responded 200 in 12.8709 ms
2026-05-24 01:00:40.817 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.6454 ms
2026-05-24 01:00:49.673 -03:00 [INF] HTTP GET /Aluno/Perfil responded 200 in 1.7629 ms
2026-05-24 01:00:49.700 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.7142 ms
2026-05-24 01:00:52.260 -03:00 [INF] HTTP GET / responded 200 in 1.4168 ms
2026-05-24 01:00:52.289 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.9679 ms
2026-05-24 01:00:53.375 -03:00 [INF] HTTP GET /Cursos responded 200 in 68.3752 ms
2026-05-24 01:00:53.396 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.4120 ms
2026-05-24 01:00:55.634 -03:00 [INF] HTTP GET /Cursos/Edit responded 200 in 71.7746 ms
2026-05-24 01:00:55.660 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.5246 ms
2026-05-24 01:00:58.300 -03:00 [INF] HTTP GET /Cursos responded 200 in 17.4228 ms
2026-05-24 01:00:58.327 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.5284 ms
2026-05-24 01:00:59.106 -03:00 [INF] HTTP GET /Aulas responded 200 in 112.3769 ms
2026-05-24 01:00:59.127 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.4218 ms
2026-05-24 01:01:02.155 -03:00 [INF] HTTP GET / responded 200 in 0.9637 ms
2026-05-24 01:01:02.182 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.5928 ms
2026-05-24 01:01:02.812 -03:00 [INF] HTTP GET /Aluno/Perfil responded 200 in 1.2922 ms
2026-05-24 01:01:02.845 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.5478 ms
2026-05-24 01:01:12.019 -03:00 [INF] HTTP GET / responded 200 in 0.7988 ms
2026-05-24 01:01:12.049 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.4900 ms
2026-05-24 01:01:14.668 -03:00 [INF] HTTP GET /Account/Login responded 302 in 1.3723 ms
2026-05-24 01:01:14.674 -03:00 [INF] HTTP GET / responded 200 in 0.6450 ms
2026-05-24 01:01:14.694 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.6710 ms
2026-05-24 01:01:16.594 -03:00 [INF] HTTP GET /Cursos responded 302 in 0.4607 ms
2026-05-24 01:01:16.605 -03:00 [INF] HTTP GET /Account/Login responded 200 in 4.3043 ms
2026-05-24 01:01:16.632 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.2734 ms
2026-05-24 01:01:18.423 -03:00 [INF] HTTP GET /Account/Register responded 200 in 21.9345 ms
2026-05-24 01:01:18.443 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.6384 ms
2026-05-24 01:01:43.225 -03:00 [INF] HTTP POST /Account/Register responded 302 in 4.5543 ms
2026-05-24 01:01:43.235 -03:00 [INF] HTTP GET /Account/Login responded 200 in 1.6711 ms
2026-05-24 01:01:43.271 -03:00 [INF] HTTP GET /EdAnalytics.WebApp.styles.css responded 404 in 0.3945 ms
2026-05-24 01:01:53.749 -03:00 [INF] HTTP POST /Account/Login responded 302 in 0.9710 ms
2026-05-24 01:01:53.759 -03:00 [INF] HTTP GET / responded 200 in 3.2417 ms
2026-05-24 01:01:53.800 -03:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 304 in 5.7913 ms
2026-05-24 01:01:53.800 -03:00 [INF] HTTP GET /css/site.css responded 304 in 1.8786 ms
